iterations,a1,a2,seg,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score
100000,1,2,10,0,UCT,UCT,1000,578,0,0.443128,0.556872,187,235,0.745413,0.600953,-0.000000
100000,1,2,20,0,UCT,UCT,1000,644,0,0.471910,0.528090,168,188,0.743796,0.571888,-0.000000
100000,1,2,5,0,UCT,UCT,1000,541,0,0.294118,0.705882,135,324,0.724281,0.680643,-0.000000
100000,6,1,10,0,UCT,UCT,1000,627,0,0.595174,0.404826,222,151,0.881892,0.748759,-0.000000
100000,6,1,20,0,UCT,UCT,1000,626,0,0.598930,0.401070,224,150,0.829059,0.719477,-0.000000
100000,6,1,5,0,UCT,UCT,1000,598,0,0.626866,0.373134,252,150,0.866278,0.735927,-0.000000
100000,6,2,10,0,UCT,UCT,1000,582,0,0.478469,0.521531,200,218,0.902653,0.611868,-0.000000
100000,6,2,20,0,UCT,UCT,1000,640,0,0.500000,0.500000,180,180,0.881271,0.594388,-0.000000
100000,6,2,5,0,UCT,UCT,1000,542,0,0.419214,0.580786,192,266,0.867806,0.685570,-0.000000
100000,9,1,10,0,UCT,UCT,1000,601,0,0.576441,0.423559,230,169,0.811976,0.776217,-0.000000
100000,9,1,20,0,UCT,UCT,1000,622,0,0.674603,0.325397,255,123,0.694506,0.751141,-0.000000
100000,9,1,5,0,UCT,UCT,1000,563,0,0.526316,0.473684,230,207,0.851314,0.749998,-0.000000
100000,9,2,10,0,UCT,UCT,1000,607,0,0.539440,0.460560,212,181,0.814303,0.622998,-0.000000
100000,9,2,20,0,UCT,UCT,1000,683,0,0.555205,0.444795,176,141,0.710015,0.579990,-0.000000
100000,9,2,5,0,UCT,UCT,1000,587,0,0.387409,0.612591,160,253,0.852393,0.699225,-0.000000
1000,1,2,10,0,UCT,UCT,1000,548,0,0.632743,0.367257,286,166,0.004909,0.004696,-0.000000
1000,1,2,20,0,UCT,UCT,1000,585,0,0.662651,0.337349,275,140,0.004840,0.004500,-0.000000
1000,1,2,5,0,UCT,UCT,1000,538,0,0.508658,0.491342,235,227,0.004877,0.004898,-0.000000
1000,6,1,10,0,UCT,UCT,1000,595,0,0.629630,0.370370,255,150,0.005156,0.004828,-0.000000
1000,6,1,20,0,UCT,UCT,1000,614,0,0.572539,0.427461,221,165,0.005239,0.004885,-0.000000
1000,6,1,5,0,UCT,UCT,1000,611,0,0.601542,0.398458,234,155,0.005122,0.004791,-0.000000
1000,6,2,10,0,UCT,UCT,1000,539,0,0.694143,0.305857,320,141,0.005234,0.004674,-0.000000
1000,6,2,20,0,UCT,UCT,1000,596,0,0.695545,0.304455,281,123,0.005246,0.004491,-0.000000
1000,6,2,5,0,UCT,UCT,1000,517,0,0.559006,0.440994,270,213,0.005224,0.004917,-0.000000
1000,9,1,10,0,UCT,UCT,1000,554,0,0.526906,0.473094,235,211,0.005245,0.004946,-0.000000
1000,9,1,20,0,UCT,UCT,1000,570,0,0.490698,0.509302,211,219,0.004909,0.004936,-0.000000
1000,9,1,5,0,UCT,UCT,1000,537,0,0.516199,0.483801,239,224,0.005445,0.004890,-0.000000
1000,9,2,10,0,UCT,UCT,1000,570,0,0.686047,0.313953,295,135,0.005319,0.004764,-0.000000
1000,9,2,20,0,UCT,UCT,1000,587,0,0.641647,0.358354,265,148,0.004947,0.004549,-0.000000
1000,9,2,5,0,UCT,UCT,1000,553,0,0.472036,0.527964,211,236,0.005481,0.004976,-0.000000
25000,1,2,10,0,UCT,UCT,1000,607,0,0.513995,0.486005,202,191,0.166583,0.140760,-0.000000
25000,1,2,20,0,UCT,UCT,1000,648,0,0.514205,0.485795,181,171,0.165838,0.132572,-0.000000
25000,1,2,5,0,UCT,UCT,1000,538,0,0.378788,0.621212,175,287,0.162524,0.156235,-0.000000
25000,6,1,10,0,UCT,UCT,1000,608,0,0.571429,0.428571,224,168,0.194925,0.168406,-0.000000
25000,6,1,20,0,UCT,UCT,1000,661,0,0.595870,0.404130,202,137,0.187062,0.162401,-0.000000
25000,6,1,5,0,UCT,UCT,1000,628,0,0.602151,0.397849,224,148,0.190192,0.165200,-0.000000
25000,6,2,10,0,UCT,UCT,1000,600,0,0.545000,0.455000,218,182,0.198037,0.143817,-0.000000
25000,6,2,20,0,UCT,UCT,1000,637,0,0.581267,0.418733,211,152,0.190043,0.132668,-0.000000
25000,6,2,5,0,UCT,UCT,1000,585,0,0.440964,0.559036,183,232,0.194425,0.160997,-0.000000
25000,9,1,10,0,UCT,UCT,1000,565,0,0.609195,0.390805,265,170,0.183695,0.173860,-0.000000
25000,9,1,20,0,UCT,UCT,1000,615,0,0.589610,0.410390,227,158,0.156701,0.167713,-0.000000
25000,9,1,5,0,UCT,UCT,1000,568,0,0.486111,0.513889,210,222,0.193794,0.168676,-0.000000
25000,9,2,10,0,UCT,UCT,1000,628,0,0.548387,0.451613,204,168,0.185955,0.146988,-0.000000
25000,9,2,20,0,UCT,UCT,1000,646,0,0.641243,0.358757,227,127,0.159208,0.135844,-0.000000
25000,9,2,5,0,UCT,UCT,1000,574,0,0.422535,0.577465,180,246,0.194494,0.162470,-0.000000
50000,1,2,10,0,UCT,UCT,1000,605,0,0.405063,0.594937,160,235,0.353436,0.290235,-0.000000
50000,1,2,20,0,UCT,UCT,1000,663,0,0.492582,0.507418,166,171,0.351365,0.274668,-0.000000
50000,1,2,5,0,UCT,UCT,1000,542,0,0.353712,0.646288,162,296,0.344108,0.326195,-0.000000
50000,6,1,10,0,UCT,UCT,1000,632,0,0.570652,0.429348,210,158,0.417424,0.357424,-0.000000
50000,6,1,20,0,UCT,UCT,1000,637,0,0.586777,0.413223,213,150,0.395187,0.344120,-0.000000
50000,6,1,5,0,UCT,UCT,1000,638,0,0.555249,0.444751,201,161,0.409203,0.349778,-0.000000
50000,6,2,10,0,UCT,UCT,1000,573,0,0.442623,0.557377,189,238,0.426728,0.296646,-0.000000
50000,6,2,20,0,UCT,UCT,1000,648,0,0.539773,0.460227,190,162,0.403225,0.275244,-0.000000
50000,6,2,5,0,UCT,UCT,1000,532,0,0.429487,0.570513,201,267,0.413027,0.334232,-0.000000
50000,9,1,10,0,UCT,UCT,1000,600,0,0.627500,0.372500,251,149,0.390871,0.369820,-0.000000
50000,9,1,20,0,UCT,UCT,1000,598,0,0.664179,0.335821,267,135,0.330355,0.354300,-0.000000
50000,9,1,5,0,UCT,UCT,1000,568,0,0.511574,0.488426,221,211,0.411468,0.360248,-0.000000
50000,9,2,10,0,UCT,UCT,1000,592,0,0.585784,0.414216,239,169,0.389296,0.302230,-0.000000
50000,9,2,20,0,UCT,UCT,1000,682,0,0.591195,0.408805,188,130,0.340135,0.282463,-0.000000
50000,9,2,5,0,UCT,UCT,1000,555,0,0.413483,0.586517,184,261,0.407663,0.337909,-0.000000
